GUI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
537248;Chief of Staff;Solomon Carter Fuller;1936;1964;1999;PA;School of Manoeuvre;Medium;LIB_solomon_carter_fuller;x
537249;Chief of Army;Momolu Dukuly;1936;1964;1999;PA;Static Defence Doctrine;Medium;LIB_momolu_dukuly;x
537250;Chief of Army;Solomon Carter Fuller;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;LIB_solomon_carter_fuller;x
537251;Head of State;Clarence Lorenzo Simpson;1936;1964;1999;ML;Popular Figurehead;Medium;M69003;x
537252;Head of State;William Oliver Davies-Bright;1936;1964;1999;ML;Popular Figurehead;Medium;unknown;x
537253;Head of Government;Clarence Lorenzo Simpson;1936;1964;1999;ML;Corporate Suit;Medium;M69003;x
537254;Head of Government;William Oliver Davies-Bright;1936;1964;1999;ML;Corporate Suit;Medium;unknown;x
537255;Foreign Minister;Clarence Lorenzo Simpson;1936;1964;1999;ML;Ideological Crusader;Medium;M69003;x
537256;Foreign Minister;J. Max Bond, Sr.;1936;1964;1999;ML;Biased Intellectual;Medium;unknown;x
537257;Foreign Minister;Isaac Moart;1936;1964;1999;ML;General Staffer;Very High;unknown;x
537258;Minister of Armament;Isaac Moart;1936;1964;1999;ML;Military Entrepreneur;Medium;unknown;x
537259;Minister of Armament;Nete Sie Brownell;1936;1964;1999;ML;laissez-faire capitalist;Medium;unknown;x
537260;Minister of Armament;J. Max Bond, Sr.;1936;1964;1999;ML;Theoretical Scientist;Medium;unknown;x
537261;Minister of Armament;Clarence Lorenzo Simpson;1936;1964;1999;ML;Administrative Genius;Medium;M69003;x
537262;Minister of Armament;William Oliver Davies-Bright;1936;1964;1999;ML;Resource Industrialist;Medium;unknown;x
537263;Minister of Security;Samuel David Coleman;1936;1964;1999;ML;Man of the People;Medium;unknown;x
537264;Minister of Security;Joseph Dennis;1936;1964;1999;ML;Crooked Kleptocrat;Very High;unknown;x
537265;Minister of Security;Nete Sie Brownell;1936;1964;1999;ML;Crime Fighter;Medium;unknown;x
537266;Head of Military Intelligence;Samuel David Coleman;1936;1964;1999;ML;Political Specialist;Medium;unknown;x
537267;Head of Military Intelligence;Isaac Moart;1936;1964;1999;ML;Logistics Specialist;Very High;unknown;x
537268;Head of Military Intelligence;William Oliver Davies-Bright;1936;1964;1999;ML;Industrial Specialist;Medium;unknown;x
537269;Chief of Staff;Isaac Moart;1936;1964;1999;ML;School of Defence;Very High;unknown;x
537270;Chief of Staff;Joseph Dennis;1936;1964;1999;ML;School of Manoeuvre;Very High;unknown;x
537271;Chief of Army;Isaac Moart;1936;1964;1999;ML;Static Defence Doctrine;Very High;unknown;x
537272;Chief of Army;Joseph Dennis;1936;1964;1999;ML;Elastic Defence Doctrine;Very High;unknown;x
537273;Head of State;Anthony Dash Wilson;1936;1964;1999;SL;Weary Stiffneck;Low;LIB_anthony_dash_wilson;x
537274;Head of Government;Anthony Dash Wilson;1936;1964;1999;SL;Happy Amateur;Low;LIB_anthony_dash_wilson;x
537275;Foreign Minister;Cornelius Bosman van Oudkarspel;1936;1964;1999;SL;Apologetic Clerk;Very High;unknown;x
537276;Foreign Minister;Fretus Africanus Russell;1937;1964;1999;SL;The Cloak N Dagger Schemer;Very High;unknown;x
537277;Foreign Minister;Charles Dunbar Burgess King;1936;1964;1999;SL;Great Compromiser;Very High;CharlesDunbarBurgessKing;x
537278;Foreign Minister;McKinley Alfred DeShield;1936;1964;1999;SL;Iron Fisted Brute;Medium;M69042;x
537279;Minister of Armament;George Toe Washington;1936;1964;1999;SL;Tank Proponent;Very High;GeorgeTWashington;x
537280;Minister of Armament;Benjamin O. Davis Jr.;1936;1964;1999;SL;Air Superiority Proponent;Very High;L60503;x
537281;Minister of Armament;Benjamin O. Davis;1936;1964;1999;SL;Infantry Proponent;Very High;M69007;x
537282;Minister of Armament;Thomas Nimene Botoe;1936;1964;1999;SL;Strategic Air Proponent;Very High;ThomasNimeneBotoe;x
537283;Minister of Armament;Joseph Nargba Cooper;1938;1964;1999;SL;Battle fleet Proponent;Very High;unknown;x
537284;Minister of Armament;McKinley Alfred DeShield;1936;1964;1999;SL;Corrupt Kleptocrat;Medium;M69042;x
537285;Minister of Armament;Francis M. Dean;1936;1964;1999;SL;Submarine Proponent;Very High;unknown;x
537286;Minister of Armament;Daniel B. Warner;1936;1964;1999;SL;air to ground proponent;Very High;DanielBWarner;x
537287;Minister of Armament;Harry A. Greaves Sr;1945;1964;1999;SL;air to sea proponent;Very High;HarryAGreavesSr;x
537288;Minister of Security;Fretus Africanus Russell;1937;1964;1999;SL;Efficient Sociopath;Medium;unknown;x
537289;Minister of Security;McKinley Alfred DeShield;1936;1964;1999;SL;Prince of Terror;Medium;M69042;x
537290;Minister of Security;Charles Dunbar Burgess King;1936;1964;1999;SL;Silent Lawyer;Very High;CharlesDunbarBurgessKing;x
537291;Minister of Security;Cornelius Bosman van Oudkarspel;1936;1964;1999;SL;Compassionate Gentleman;Medium;unknown;x
537292;Minister of Security;Anthony Dash Wilson;1936;1964;1999;SL;Back Stabber;Medium;LIB_anthony_dash_wilson;x
537293;Head of Military Intelligence;Fretus Africanus Russell;1937;1964;1999;SL;Technical Specialist;Medium;unknown;x
537294;Head of Military Intelligence;Cornelius Bosman van Oudkarspel;1936;1964;1999;SL;Dismal Enigma;Medium;unknown;x
537295;Head of Military Intelligence;Sam Johnson;1936;1964;1999;SL;Naval Intelligence Specialist;Very High;SamJohnson;x
537296;Chief of Staff;Benjamin O. Davis;1936;1964;1999;SL;School of Mass Combat;Medium;M69007;x
537297;Chief of Staff;George Toe Washington;1936;1964;1999;SL;School of Fire Support;Very High;GeorgeTWashington;x
537298;Chief of Staff;Daniel B. Warner;1936;1964;1999;SL;School of Psychology;Very High;DanielBWarner;x
537299;Chief of Army;Benjamin O. Davis;1936;1964;1999;SL;Decisive Battle Doctrine;Medium;M69007;x
537300;Chief of Army;George Toe Washington;1936;1964;1999;SL;Armoured Spearhead Doctrine;Very High;GeorgeTWashington;x
537301;Chief of Army;Daniel B. Warner;1936;1964;1999;SL;Guns and Butter Doctrine;Very High;DanielBWarner;x
537302;Chief of Navy;Francis M. Dean;1936;1964;1999;SL;Indirect Approach Doctrine;Very High;unknown;x
537303;Chief of Navy;Leroy Gibson, Sr.;1936;1964;1999;SL;Base Control Doctrine;Very High;LeroyGibsonSr;x
537304;Chief of Navy;Joseph Nargba Cooper;1938;1964;1999;SL;Decisive Naval Battle Doctrine;Very High;unknown;x
537305;Chief of Navy;Sam Johnson;1936;1964;1999;SL;Open Seas Doctrine;Very High;SamJohnson;x
537306;Chief of Navy;Harry A. Greaves Sr;1945;1964;1999;SL;Power Projection Doctrine;Very High;HarryAGreavesSr;x
537307;Chief of Air Force;Daniel B. Warner;1936;1964;1999;SL;Army Aviation Doctrine;Very High;DanielBWarner;x
537308;Chief of Air Force;Harry A. Greaves Sr;1945;1964;1999;SL;Naval Aviation Doctrine;Very High;HarryAGreavesSr;x
537309;Chief of Air Force;Benjamin O. Davis Jr.;1936;1964;1999;SL;Air Superiority Doctrine;Very High;L60503;x
537310;Chief of Air Force;Thomas Nimene Botoe;1936;1964;1999;SL;Carpet Bombing Doctrine;Very High;ThomasNimeneBotoe;x
537311;Chief of Air Force;Leroy Gibson, Sr.;1936;1964;1999;SL;Vertical Envelopment Doctrine;Very High;LeroyGibsonSr;x
537312;Head of State;Albert Porte;1936;1964;1999;LWR;Benevolent Gentleman;High;M69033;x
537313;Head of Government;Albert Porte;1936;1964;1999;LWR;Ambitious Union Boss;High;M69033;x
537314;Foreign Minister;Albert Porte;1936;1964;1999;LWR;Great Compromiser;Medium;M69033;x
